First,Last,Votes,Percentage,Election,Elected
Suzy,Ageton,14091,15.90%,2005,TRUE
Andy,Schultheiss,13111,14.80%,2005,TRUE
Tom,Eldridge,12915,14.50%,2005,TRUE
Shaun,McGrath,12874,14.50%,2005,TRUE
Richard,Polk,10484,11.80%,2005,TRUE
Macon,Cowles,9462,10.70%,2005,FALSE
Eugene,Pearson,6979,7.90%,2005,FALSE
Shawn,Coleman,3832,4.30%,2005,FALSE
Nabil,Karkamaz,3447,3.90%,2005,FALSE
John,Klein,1572,1.80%,2005,FALSE
Ken,Wilson,,10.50%,2007,TRUE
Crystal,Gray,,10.00%,2007,TRUE
Susan M.,Osborne,,9.70%,2007,TRUE
Lisa,Morzel,,9.30%,2007,TRUE
Macon,Cowles,,8.80%,2007,TRUE
Angelique,Espinoza,,8.80%,2007,TRUE
Matthew,Appelbaum,,7.30%,2007,TRUE
Susan K.,Peterson,,4.60%,2007,FALSE
Eugene,Pearson,,4.30%,2007,FALSE
Shawn L.,Coleman,,3.90%,2007,FALSE
Adam,Massey,,3.40%,2007,FALSE
Eric R.,Rutherford,,3.40%,2007,FALSE
Phil,Hernandez,,2.50%,2007,FALSE
Alan,O'Hashi,,2.50%,2007,FALSE
Larry V.,Quilling,,2.10%,2007,FALSE
Kathryn,Kramer,,2.00%,2007,FALSE
Tom,Riley,,1.70%,2007,FALSE
Nabil,Karkamaz,,1.60%,2007,FALSE
Philip J.,Bradley,,1.30%,2007,FALSE
Rob,Smoke,,1.20%,2007,FALSE
Andrew,Harrison,,0.60%,2007,FALSE
Seth,Brigham,,0.50%,2007,FALSE
Suzy,Ageton,11148,14.72%,2009,TRUE
Matthew,Appelbaum,9035,11.93%,2009,TRUE
Macon,Cowles,7806,10.30%,2009,TRUE
KC,Becker,7797,10.29%,2009,TRUE
George,Karakehian,7637,10.08%,2009,TRUE
Barry,Siff,6969,9.20%,2009,FALSE
Tim,Plass,6773,8.94%,2009,FALSE
Jyotsna,Raj,6698,8.84%,2009,FALSE
Fenno,Hoffman,5746,7.58%,2009,FALSE
Valerie,Mitchell,2618,3.46%,2009,FALSE
Rob,Smoke,1370,1.81%,2009,FALSE
Kevin,Hotaling,1364,1.80%,2009,FALSE
Seth,Brigham,797,1.05%,2009,FALSE
Suzanne,Jones,12933,13.63%,2011,TRUE
Lisa,Morzel,12410,13.08%,2011,TRUE
Tim,Plass,10552,11.12%,2011,TRUE
George,Karakehian,10066,10.61%,2011,TRUE
Ken,Wilson,9990,10.53%,2011,TRUE
Dan,King,8654,9.12%,2011,FALSE
Daniel,Ziskin,7129,7.51%,2011,FALSE
Jonathan,Hondorf,6657,7.02%,2011,FALSE
Fenno,Hoffman,6616,6.97%,2011,FALSE
Tom,Johnston,3778,3.98%,2011,FALSE
Mark,Gelband,3551,3.74%,2011,FALSE
Kevin,Hotaling,1897,2.00%,2011,FALSE
Stephen,Keenan,640,0.67%,2011,FALSE
Mary,Young,15170,13.84%,2013,TRUE
Matthew,Appelbaum,14693,13.40%,2013,TRUE
Sam,Weaver,14100,12.86%,2013,TRUE
Andrew,Shoemaker,12813,11.69%,2013,TRUE
Macon,Cowles,12420,11.33%,2013,TRUE
Micah,Parkin,11162,10.18%,2013,FALSE
Ed,Byrne,9823,8.96%,2013,FALSE
John,Gerstle,8321,7.59%,2013,FALSE
Kevin,Hotaling,4575,4.17%,2013,FALSE
Jonathan,Dings,4289,3.91%,2013,FALSE
Greatful Fred,Smith,2269,2.07%,2013,FALSE
Bob,Yates,12242,10.72%,2015,TRUE
Suzanne,Jones,11294,9.89%,2015,TRUE
Lisa,Morzel,10810,9.46%,2015,TRUE
Aaron,Brockett,10213,8.94%,2015,TRUE
Jan,Burton,8986,7.87%,2015,TRUE
Cindy,Carlisle,8861,7.76%,2015,FALSE
Michael,Kruteck,8819,7.72%,2015,FALSE
Tim,Plass,8109,7.10%,2015,FALSE
Leonard,May,6705,5.87%,2015,FALSE
Jyotsna,Raj,6444,5.64%,2015,FALSE
Don,Cote,5822,5.10%,2015,FALSE
Bill,Rigler,5644,4.94%,2015,FALSE
Julianne,McCabe,4000,3.50%,2015,FALSE
Cha Cha,Spinrad,2016,1.76%,2015,FALSE
Edward,Jabari,1846,1.62%,2015,FALSE
Jared,Kaszuba,1534,1.34%,2015,FALSE
Comrade Keith,Percy,901,0.79%,2015,FALSE
Mary Dolores,Dolores,14956,10.97%,2017,TRUE
Sam,Weaver,14545,10.67%,2017,TRUE
Jill Adler,Grano,13496,9.90%,2017,TRUE
Mirabai Kuk,Nagle,12659,9.29%,2017,TRUE
Cindy,Carlisle,12359,9.07%,2017,FALSE
John,Gerstle,11535,8.46%,2017,FALSE
Jan,Burton,11273,8.27%,2017,FALSE
Mark,McIntyre,10373,7.61%,2017,FALSE
Bill,Rigler,8742,6.41%,2017,FALSE
Eric,Budd,8600,6.31%,2017,FALSE
Matt,Benjamin,7561,5.55%,2017,FALSE
Ed,Byrne,7143,5.24%,2017,FALSE
Adam,Swetlik,1940,1.42%,2017,FALSE
Camilo,Casas,1100,0.81%,2017,FALSE
Bob,Yates,17508,10.36%,2019,TRUE
Junie,Joseph,17322,10.25%,2019,TRUE
Rachel,Friend,17230,10.20%,2019,TRUE
Aaron,Brockett,15779,9.34%,2019,TRUE
Adam,Swetlik,14442,8.55%,2019,TRUE
Mark,Wallach,14173,8.39%,2019,TRUE
Mark,McIntyre,13493,7.99%,2019,FALSE
Susan,Peterson,12961,7.67%,2019,FALSE
Benita,Duran,11576,6.85%,2019,FALSE
Corina,Julca,11048,6.54%,2019,FALSE
Brian,Dolan,10855,6.43%,2019,FALSE
Nikki,McCord,4207,2.49%,2019,FALSE
Paul,Cure,4046,2.40%,2019,FALSE
Andy,Celani,2438,1.44%,2019,FALSE
Gala Wilhelmina,Orba,1852,1.10%,2019,FALSE
Mark,Wallach,17683,13.07%,2021,TRUE
Matt,Benjamin,16501,12.20%,2021,TRUE
Nicole,Speer,16287,12.04%,2021,TRUE
Lauren,Folkerts,15763,11.65%,2021,TRUE
Tara,Winer,15205,11.24%,2021,TRUE
Michael,Christy,14558,10.76%,2021,FALSE
Dan,Williams,13614,10.07%,2021,FALSE
Steve,Rosenblum,13309,9.84%,2021,FALSE
David,Takahashi,8429,6.23%,2021,FALSE
Jacques,Decalo,3908,2.89%,2021,FALSE
Tara,Winer,21255,18.75%,2023,TRUE
Tina,Marquis,14958,13.19%,2023,TRUE
Taishya,Adams,14633,12.91%,2023,TRUE
Ryan,Schuchard,14411,12.71%,2023,TRUE
Terri,Brncic,14365,12.67%,2023,FALSE
Jenny,Robins,11249,9.92%,2023,FALSE
Waylon,Lewis,8862,7.82%,2023,FALSE
Silas,Atkins,6829,6.02%,2023,FALSE
Aaron Gabriel,Neyer,3483,3.07%,2023,FALSE
Jacques,Decalo,3329,2.94%,2023,FALSE
Ken,Wilson,3501,32.80%,2007 Special,TRUE
Matthew,Appelbaum,1896,17.80%,2007 Special,FALSE
Angelique,Espinoza,1270,11.90%,2007 Special,FALSE
Eugene,Pearson,673,6.30%,2007 Special,FALSE
Alan,O'Hashi,566,5.30%,2007 Special,FALSE
Shawn L.,Coleman,522,4.90%,2007 Special,FALSE
Phil,Hernandez,495,4.60%,2007 Special,FALSE
Susan K.,Peterson,461,4.30%,2007 Special,FALSE
Philip J.,Bradley,304,2.80%,2007 Special,FALSE
Kathryn,Kramer,281,2.60%,2007 Special,FALSE
J.,Welsh,275,2.60%,2007 Special,FALSE
Tom,Riley,223,2.10%,2007 Special,FALSE
F.D.,Zoldak,142,1.30%,2007 Special,FALSE
W.E.,Bodenstab,67,0.60%,2007 Special,FALSE
